7zip 26.01-1
sddm-kcm 6.6.5-1
sdl2-compat 2.32.70-1
sdl3 3.4.10-1
seatd 0.9.3-1
sed 4.10-1
semver 7.8.3-1
serd 0.32.10-1
shaderc 2026.2-1
shadow 4.19.4.arch1-1
shared-mime-info 2.4-3
simdjson 1:4.6.4-1
skia-sharp 2.88.9-1
slang 2.3.3-4
slurp 1.5.0-2
smbclient 2:4.24.3-1
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.27.0-1
sonnet 6.27.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.2-1
sratom 0.6.22-1
srt 1.5.5-1
steam 1.0.0.85-7
steam-devices 1.0.0.85-7
sudo 1.9.17.p2-6
svt-av1 4.1.0-1
svt-hevc 1.5.1-4
swaybg 1.2.2-1
syndication 6.27.0-1
syntax-highlighting 6.27.0-1
systemd 260.2-2
systemd-libs 260.2-2
systemd-sysvcompat 260.2-2
taglib 2.3-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.3-1
timeshift 25.12.4-1
timeshift-autosnap 0.10.0-1
tinysparql 3.11.1-1
tomlplusplus 3.4.0-2
tpm2-tss 4.1.3-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-input-nerd 3.4.0-4
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-miracode 1.0-2
ttf-sarasa-gothic 1.0.39-1
twolame 0.4.0-4
tzdata 2026b-1
udisks2 2.11.1-2
unibilium 2.1.2-1
unityhub 3.18.0-1
unp 1:2.0-2
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uv 0.11.21-1
v4l-utils 1.32.0-2
vapoursynth 76-1
verdict 1.4.5-2
vid.stab 1.1.1-2
vim 9.2.0663-1
vim-runtime 9.2.0663-1
vlc 3.0.23_2-7
vlc-cli 3.0.23_2-7
vlc-gui-qt 3.0.23_2-7
vlc-plugin-a52dec 3.0.23_2-7
vlc-plugin-alsa 3.0.23_2-7
vlc-plugin-archive 3.0.23_2-7
vlc-plugin-dav1d 3.0.23_2-7
vlc-plugin-dbus 3.0.23_2-7
vlc-plugin-dbus-screensaver 3.0.23_2-7
vlc-plugin-faad2 3.0.23_2-7
vlc-plugin-flac 3.0.23_2-7
vlc-plugin-gnutls 3.0.23_2-7
vlc-plugin-inflate 3.0.23_2-7
vlc-plugin-journal 3.0.23_2-7
vlc-plugin-jpeg 3.0.23_2-7
vlc-plugin-lua 3.0.23_2-7
vlc-plugin-matroska 3.0.23_2-7
vlc-plugin-mpg123 3.0.23_2-7
vlc-plugin-ogg 3.0.23_2-7
vlc-plugin-opus 3.0.23_2-7
vlc-plugin-png 3.0.23_2-7
vlc-plugin-pulse 3.0.23_2-7
vlc-plugin-shout 3.0.23_2-7
vlc-plugin-speex 3.0.23_2-7
vlc-plugin-tag 3.0.23_2-7
vlc-plugin-theora 3.0.23_2-7
vlc-plugin-twolame 3.0.23_2-7
vlc-plugin-vorbis 3.0.23_2-7
vlc-plugin-vpx 3.0.23_2-7
vlc-plugin-xml 3.0.23_2-7
vlc-plugins-base 3.0.23_2-7
vlc-plugins-video-output 3.0.23_2-7
vmaf 3.1.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vtk 9.6.2-1
vulkan-icd-loader 1.4.350.0-1
vulkan-intel 1:26.1.2-2
vulkan-mesa-implicit-layers 1:26.1.2-2
vulkan-mesa-layers 1:26.1.2-2
vulkan-radeon 1:26.1.2-2
vulkan-validation-layers 1.4.350.0-1
wavpack 5.9.0-1
wayland 1.25.0-1
wayland-protocols 1.49-1
webkit2gtk-4.1 2.52.4-1
webkitgtk-6.0 2.52.4-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
wget 1.25.0-5
which 2.25-1
wildmidi 0.4.6-1
wine 11.11-1
wine-mono 11.1.0-1
winetricks 20260125-2
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
woff2 1.0.2-6
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.1.0-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.22.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.47-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.23-1
xorg-server-common 21.1.23-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xhost 1.0.10-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.12-1
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yay 12.6.0-1
yay-debug 12.6.0-1
yyjson 0.12.0-1
zbar 0.23.93-5
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-2
zip 3.0-13
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.9.9-2
zstd 1.5.7-3
zulu-21-bin 21.0.11-1
zulu-21-bin-debug 21.0.11-1
zvbi 0.2.44-1
zxing-cpp 3.0.2-1
